  cell  ,E,W,N,S
"(16, 59)",1,0,0,0
"(17, 59)",1,1,0,0
"(18, 59)",0,1,0,0
"(19, 59)",0,1,0,1
"(20, 59)",1,0,1,0
"(21, 59)",1,1,0,0
"(22, 59)",0,1,0,1
"(23, 59)",0,1,1,0
"(24, 59)",1,1,0,1
"(25, 59)",0,0,1,1
"(26, 59)",0,0,1,1
"(27, 59)",1,1,1,0
"(28, 59)",0,0,0,1
"(29, 59)",1,0,1,1
"(30, 59)",1,0,1,0
"(31, 59)",1,0,0,1
"(32, 59)",0,1,1,1
"(33, 59)",0,0,1,1
"(34, 59)",1,1,1,0
"(35, 59)",1,0,0,1
"(36, 59)",0,0,1,1
"(37, 59)",0,1,1,0
"(38, 59)",1,0,0,1
"(39, 59)",1,1,1,0
"(40, 59)",1,1,0,1
"(41, 59)",0,1,1,0
"(42, 59)",0,1,0,1
"(43, 59)",1,0,1,0
"(44, 59)",1,0,0,0
"(45, 59)",0,1,0,1
"(46, 59)",1,0,1,0
"(47, 59)",0,1,0,1
"(48, 59)",1,1,1,0
"(49, 59)",1,0,0,1
"(50, 59)",0,0,1,1
"(51, 59)",1,1,1,0
"(52, 59)",1,1,0,0
"(53, 59)",0,1,0,1
"(54, 59)",0,1,1,0
"(55, 59)",1,1,0,0
"(56, 59)",1,1,0,0
"(57, 59)",1,1,0,0
"(58, 59)",1,1,0,0
"(59, 59)",0,1,0,1
"(60, 59)",1,0,1,0
"(1, 60)",0,1,0,1
"(2, 60)",0,1,1,1
"(3, 60)",0,0,1,0
"(4, 60)",0,1,0,1
"(5, 60)",0,1,1,1
"(6, 60)",0,0,1,1
"(7, 60)",0,1,1,1
"(8, 60)",0,0,1,1
"(9, 60)",0,1,1,1
"(10, 60)",0,0,1,1
"(11, 60)",0,0,1,1
"(12, 60)",0,0,1,1
"(13, 60)",0,1,1,1
"(14, 60)",0,1,1,1
"(15, 60)",0,1,1,1
"(16, 60)",0,1,1,0
"(17, 60)",0,1,0,1
"(18, 60)",0,0,1,1
"(19, 60)",0,0,1,1
"(20, 60)",0,1,1,1
"(21, 60)",0,1,1,1
"(22, 60)",0,0,1,1
"(23, 60)",0,0,1,1
"(24, 60)",0,1,1,1
"(25, 60)",0,0,1,1
"(26, 60)",0,0,1,1
"(27, 60)",0,1,1,1
"(28, 60)",0,0,1,1
"(29, 60)",0,1,1,0
"(30, 60)",0,1,0,1
"(31, 60)",0,1,1,1
"(32, 60)",0,0,1,1
"(33, 60)",0,0,1,1
"(34, 60)",0,1,1,1
"(35, 60)",0,1,1,1
"(36, 60)",0,0,1,1
"(37, 60)",0,0,1,1
"(38, 60)",0,1,1,0
"(39, 60)",0,1,0,1
"(40, 60)",0,1,1,1
"(41, 60)",0,0,1,1
"(42, 60)",0,0,1,1
"(43, 60)",0,1,1,1
"(44, 60)",0,1,1,1
"(45, 60)",0,0,1,0
"(46, 60)",0,1,0,1
"(47, 60)",0,0,1,1
"(48, 60)",0,1,1,1
"(49, 60)",0,1,1,1
"(50, 60)",0,0,1,1
"(51, 60)",0,1,1,1
"(52, 60)",0,1,1,1
"(53, 60)",0,0,1,1
"(54, 60)",0,0,1,1
"(55, 60)",0,1,1,0
"(56, 60)",0,1,0,1
"(57, 60)",0,1,1,1
"(58, 60)",0,1,1,1
"(59, 60)",0,0,1,1
"(60, 60)",0,1,1,0
